instance,algorithm,cost,time_in_seconds,deviation_percentage
N-t70d11xn_150,VND_TIE (T->I->E),5726040,1.125000,+1.7014
N-t70d11xn_250,VND_TEI (T->E->I),14963328,12.157000,+1.6028
N-t70d11xn_250,VND_TIE (T->I->E),14938340,9.375000,+1.7671
N-t70d11xx_150,VND_TEI (T->E->I),6045044,1.016000,+2.0915
N-t70d11xx_150,VND_TIE (T->I->E),6033969,0.859000,+2.2709
N-t70d11xx_250,VND_TEI (T->E->I),15740366,11.250000,+1.8716
N-t70d11xx_250,VND_TIE (T->I->E),15705288,10.454000,+2.0902
N-t70f11xx_150,VND_TEI (T->E->I),5034449,1.297000,+2.2455
N-t70f11xx_150,VND_TIE (T->I->E),5074161,1.000000,+1.4745
N-t70f11xx_250,VND_TEI (T->E->I),13353663,13.344000,+1.7111
N-t70f11xx_250,VND_TIE (T->I->E),13345218,8.187000,+1.7733
N-t70l11xx_150,VND_TEI (T->E->I),426493,1.516000,+2.3735
N-t70l11xx_150,VND_TIE (T->I->E),424730,1.281000,+2.7771
N-t70l11xx_250,VND_TEI (T->E->I),1091847,19.031000,+1.9118
N-t70l11xx_250,VND_TIE (T->I->E),1095010,9.469000,+1.6277
N-t70n11xx_150,VND_TEI (T->E->I),927253,1.141000,+2.2826
N-t70n11xx_150,VND_TIE (T->I->E),929299,1.203000,+2.0670
N-t70n11xx_250,VND_TEI (T->E->I),2401281,11.218000,+1.7636
N-t70n11xx_250,VND_TIE (T->I->E),2407163,9.110000,+1.5230
N-t74d11xx_150,VND_TEI (T->E->I),9194673,1.140000,+2.1431
N-t74d11xx_150,VND_TIE (T->I->E),9265115,0.907000,+1.3934
N-t74d11xx_250,VND_TEI (T->E->I),24077322,12.312000,+1.4446
N-t74d11xx_250,VND_TIE (T->I->E),23994974,9.844000,+1.7817
N-t75d11xx_150,VND_TEI (T->E->I),9525829,1.296000,+1.2063
N-t75d11xx_150,VND_TIE (T->I->E),9539548,0.906000,+1.0640
N-t75d11xx_250,VND_TEI (T->E->I),24646486,13.563000,+1.4813
N-t75d11xx_250,VND_TIE (T->I->E),24661091,9.796000,+1.4229
N-t75e11xx_150,VND_TEI (T->E->I),40793102,0.953000,+1.8693
N-t75e11xx_150,VND_TIE (T->I->E),40953491,1.094000,+1.4835
N-t75e11xx_250,VND_TEI (T->E->I),104722421,13.797000,+2.0131
N-t75e11xx_250,VND_TIE (T->I->E),104771289,9.703000,+1.9674
N-t75k11xx_150,VND_TEI (T->E->I),1509606,1.171000,+2.0751
N-t75k11xx_150,VND_TIE (T->I->E),1523496,1.172000,+1.1741
N-t75k11xx_250,VND_TEI (T->E->I),4027300,13.079000,+1.6256
N-t75k11xx_250,VND_TIE (T->I->E),4040518,10.890000,+1.3027
N-t75n11xx_150,VND_TEI (T->E->I),1702383,1.187000,+2.3356
N-t75n11xx_150,VND_TIE (T->I->E),1704547,1.031000,+2.2114
N-t75n11xx_250,VND_TEI (T->E->I),4443811,12.218000,+1.7930
N-t75n11xx_250,VND_TIE (T->I->E),4446364,8.438000,+1.7366
N-tiw56n54_150,VND_TEI (T->E->I),824084,1.234000,+1.6542
N-tiw56n54_150,VND_TIE (T->I->E),823518,1.156000,+1.7217
N-tiw56n54_250,VND_TEI (T->E->I),2060382,11.547000,+1.8270
N-tiw56n54_250,VND_TIE (T->I->E),2070717,8.671000,+1.3346
N-tiw56n58_150,VND_TEI (T->E->I),1133073,0.984000,+1.9317
N-tiw56n58_150,VND_TIE (T->I->E),1133583,0.907000,+1.8876
N-tiw56n58_250,VND_TEI (T->E->I),2863220,11.453000,+1.4944
N-tiw56n58_250,VND_TIE (T->I->E),2870032,10.422000,+1.2600
N-tiw56n62_150,VND_TEI (T->E->I),1599385,1.594000,+1.6925
N-tiw56n62_150,VND_TIE (T->I->E),1601795,0.796000,+1.5444
N-tiw56n62_250,VND_TEI (T->E->I),4081880,11.610000,+1.4692
N-tiw56n62_250,VND_TIE (T->I->E),4094471,8.094000,+1.1653
N-tiw56n66_150,VND_TEI (T->E->I),2075514,1.140000,+1.5233
N-tiw56n66_150,VND_TIE (T->I->E),2066599,0.797000,+1.9463
N-tiw56n66_250,VND_TEI (T->E->I),5304154,11.672000,+1.2336
N-tiw56n66_250,VND_TIE (T->I->E),5281054,7.781000,+1.6637
N-tiw56n67_150,VND_TEI (T->E->I),2330760,1.188000,+1.7770
N-tiw56n67_150,VND_TIE (T->I->E),2343314,0.969000,+1.2479
N-tiw56n67_250,VND_TEI (T->E->I),6224339,11.703000,+1.5893
N-tiw56n67_250,VND_TIE (T->I->E),6250494,9.546000,+1.1757
N-tiw56n72_150,VND_TEI (T->E->I),4065807,1.125000,+1.6949
N-tiw56n72_150,VND_TIE (T->I->E),4024878,0.953000,+2.6845
N-tiw56n72_250,VND_TEI (T->E->I),10990944,11.906000,+1.4239
N-tiw56n72_250,VND_TIE (T->I->E),10961738,8.765000,+1.6859
N-tiw56r54_150,VND_TEI (T->E->I),938898,1.063000,+2.0136
N-tiw56r54_150,VND_TIE (T->I->E),943715,1.250000,+1.5109
N-tiw56r54_250,VND_TEI (T->E->I),2344859,10.296000,+1.7798
N-tiw56r54_250,VND_TIE (T->I->E),2346278,8.407000,+1.7204
N-tiw56r58_150,VND_TEI (T->E->I),1192489,1.250000,+2.1985
N-tiw56r58_150,VND_TIE (T->I->E),1200961,0.953000,+1.5037
N-tiw56r58_250,VND_TEI (T->E->I),3000523,9.828000,+1.9540
N-tiw56r58_250,VND_TIE (T->I->E),3012416,8.781000,+1.5654
N-tiw56r66_150,VND_TEI (T->E->I),1903720,1.078000,+1.9083
N-tiw56r66_150,VND_TIE (T->I->E),1908073,1.016000,+1.6840
N-tiw56r66_250,VND_TEI (T->E->I),4877526,11.422000,+1.4325
N-tiw56r66_250,VND_TIE (T->I->E),4885874,8.969000,+1.2638
N-tiw56r67_150,VND_TEI (T->E->I),2035752,1.015000,+1.0015
N-tiw56r67_150,VND_TIE (T->I->E),2028429,1.125000,+1.3577
N-tiw56r67_250,VND_TEI (T->E->I),5212767,11.438000,+1.4536
N-tiw56r67_250,VND_TIE (T->I->E),5185263,8.563000,+1.9736
N-tiw56r72_150,VND_TEI (T->E->I),2770116,1.297000,+1.8997
N-tiw56r72_150,VND_TIE (T->I->E),2769096,1.047000,+1.9358
N-tiw56r72_250,VND_TEI (T->E->I),7302448,10.859000,+2.0013
N-tiw56r72_250,VND_TIE (T->I->E),7347749,8.344000,+1.3934
