start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
Random,Transpose,First-improvement,9423977,0.000000,+30.6353
Random,Transpose,Best-improvement,9434609,0.000000,+30.5571
Random,Exchange,First-improvement,13162843,25.797000,+3.1156
Random,Exchange,Best-improvement,13023711,3.407000,+4.1397
Random,Insert,First-improvement,13302080,20.891000,+2.0908
Random,Insert,Best-improvement,13235429,4.187000,+2.5814
CW,Transpose,First-improvement,11565346,0.000000,+14.8739
CW,Transpose,Best-improvement,11569596,0.000000,+14.8426
CW,Exchange,First-improvement,13266010,20.985000,+2.3563
CW,Exchange,Best-improvement,13100613,4.266000,+3.5737
CW,Insert,First-improvement,13374442,14.750000,+1.5582
CW,Insert,Best-improvement,13338176,4.062000,+1.8251
