instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-be75tot_150,Random,Exchange,First-improvement,11881492,3.641000,+3.3059
N-be75tot_150,Random,Exchange,Best-improvement,11788049,0.531000,+4.0663
N-be75tot_150,Random,Insert,First-improvement,11936955,2.016000,+2.8545
N-be75tot_150,Random,Insert,Best-improvement,11989949,0.672000,+2.4232
N-be75tot_150,CW,Transpose,First-improvement,10154073,0.000000,+17.3640
N-be75tot_150,CW,Transpose,Best-improvement,10206380,0.000000,+16.9383
N-be75tot_150,CW,Exchange,First-improvement,11916595,2.547000,+3.0202
N-be75tot_150,CW,Exchange,Best-improvement,11777774,0.438000,+4.1499
N-be75tot_150,CW,Insert,First-improvement,11999197,1.891000,+2.3480
N-be75tot_150,CW,Insert,Best-improvement,11958017,0.594000,+2.6831
N-be75tot_250,Random,Transpose,First-improvement,20410636,0.000000,+34.0712
N-be75tot_250,Random,Transpose,Best-improvement,20495488,0.000000,+33.7971
N-be75tot_250,Random,Exchange,First-improvement,30351180,32.578000,+1.9621
N-be75tot_250,Random,Exchange,Best-improvement,29877673,4.547000,+3.4916
N-be75tot_250,Random,Insert,First-improvement,30500814,23.093000,+1.4787
N-be75tot_250,Random,Insert,Best-improvement,30318649,4.891000,+2.0671
N-be75tot_250,CW,Transpose,First-improvement,26465619,0.000000,+14.5129
N-be75tot_250,CW,Transpose,Best-improvement,26493435,0.000000,+14.4230
N-be75tot_250,CW,Exchange,First-improvement,30353259,21.891000,+1.9554
N-be75tot_250,CW,Exchange,Best-improvement,30255002,4.000000,+2.2727
N-be75tot_250,CW,Insert,First-improvement,30530282,15.531000,+1.3835
N-be75tot_250,CW,Insert,Best-improvement,30503500,3.750000,+1.4701
N-stabu1_150,Random,Transpose,First-improvement,1827538,0.000000,+36.4496
N-stabu1_150,Random,Transpose,Best-improvement,1836079,0.000000,+36.1526
N-stabu1_150,Random,Exchange,First-improvement,2800349,4.031000,+2.6213
N-stabu1_150,Random,Exchange,Best-improvement,2769345,0.532000,+3.6995
N-stabu1_150,Random,Insert,First-improvement,2824108,2.531000,+1.7952
N-stabu1_150,Random,Insert,Best-improvement,2815434,0.594000,+2.0968
N-stabu1_150,CW,Transpose,First-improvement,2414897,0.000000,+16.0250
N-stabu1_150,CW,Transpose,Best-improvement,2424662,0.000000,+15.6854
N-stabu1_150,CW,Exchange,First-improvement,2823165,2.875000,+1.8280
N-stabu1_150,CW,Exchange,Best-improvement,2802577,0.437000,+2.5439
N-stabu1_150,CW,Insert,First-improvement,2810220,1.656000,+2.2781
N-stabu1_150,CW,Insert,Best-improvement,2836229,0.469000,+1.3737
N-stabu1_250,Random,Transpose,First-improvement,4880794,0.000000,+36.9606
N-stabu1_250,Random,Transpose,Best-improvement,4871705,0.000000,+37.0779
N-stabu1_250,Random,Exchange,First-improvement,7551833,31.922000,+2.4619
N-stabu1_250,Random,Exchange,Best-improvement,7529820,4.890000,+2.7462
N-stabu1_250,Random,Insert,First-improvement,7623629,25.719000,+1.5346
N-stabu1_250,Random,Insert,Best-improvement,7565869,4.063000,+2.2806
N-stabu1_250,CW,Transpose,First-improvement,6569513,0.000000,+15.1494
N-stabu1_250,CW,Transpose,Best-improvement,6582511,0.000000,+14.9815
N-stabu1_250,CW,Exchange,First-improvement,7572562,24.172000,+2.1942
N-stabu1_250,CW,Exchange,Best-improvement,7536819,3.453000,+2.6558
