start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
Random,Transpose,First-improvement,201789,0.000000,+36.7353
Random,Transpose,Best-improvement,202344,0.000000,+36.5613
Random,Exchange,First-improvement,309357,3.360000,+3.0107
Random,Exchange,Best-improvement,309362,0.656000,+3.0092
Random,Insert,First-improvement,311760,1.859000,+2.2573
Random,Insert,Best-improvement,315761,0.688000,+1.0029
CW,Transpose,First-improvement,268713,0.000000,+15.7534
CW,Transpose,Best-improvement,268571,0.000000,+15.7979
CW,Exchange,First-improvement,310877,1.750000,+2.5342
CW,Exchange,Best-improvement,310185,0.500000,+2.7511
CW,Insert,First-improvement,314014,1.578000,+1.5507
CW,Insert,Best-improvement,312580,0.437000,+2.0003
